Store_ID,Date,Region,Brand,Budget_Local
S0510,2024-02-10,Hong Kong,KFC,31526.837533013637
S0511,2024-02-10,Hong Kong,KFC,60786.755372815212
S0512,2024-02-10,Hong Kong,KFC,20189.382475890256
S0513,2024-02-10,Hong Kong,KFC,92602.832423149535
S0514,2024-02-10,Hong Kong,KFC,134506.21013647746
S0515,2024-02-10,Hong Kong,KFC,60417.595498040289
S0516,2024-02-10,Hong Kong,KFC,83194.308933570981
S0517,2024-02-10,Hong Kong,KFC,66611.912692151949
S0518,2024-02-10,Hong Kong,KFC,68135.777122753047
S0519,2024-02-10,Hong Kong,KFC,105205.01588622868
S0520,2024-02-10,Hong Kong,KFC,57877.372210039357
S0521,2024-02-10,Hong Kong,KFC,59665.582619448476
S0522,2024-02-10,Hong Kong,KFC,93609.594822394574
S0523,2024-02-10,Hong Kong,KFC,1225.1117456740578
S0524,2024-02-10,Hong Kong,KFC,76881.359943819
S0525,2024-02-10,Hong Kong,KFC,85695.5735342757
S0526,2024-02-10,Hong Kong,KFC,38761.952376692592
S0527,2024-02-10,Hong Kong,KFC,77250.0661626201
S0528,2024-02-10,Hong Kong,KFC,58874.857542273581
S0529,2024-02-10,Hong Kong,KFC,60544.453514558809
S0530,2024-02-10,Hong Kong,KFC,64848.424419838739
S0531,2024-02-10,Hong Kong,KFC,82707.526523955821
S0532,2024-02-10,Hong Kong,KFC,59194.815768307359
S0533,2024-02-10,Hong Kong,KFC,77732.619112506247
S0534,2024-02-10,Hong Kong,KFC,53389.765206419957
S0535,2024-02-10,Hong Kong,KFC,65664.462776433342
S0536,2024-02-10,Hong Kong,KFC,54799.4270007869
S0537,2024-02-10,Hong Kong,KFC,62331.070853157733
S0538,2024-02-10,Hong Kong,KFC,64921.290133365219
S0539,2024-02-10,Hong Kong,KFC,38167.304886114187
S0540,2024-02-10,Hong Kong,KFC,53334.084164657492
S0542,2024-02-10,Hong Kong,KFC,66582.69110635751
S0543,2024-02-10,Hong Kong,KFC,76222.057066176654
S0544,2024-02-10,Hong Kong,KFC,76065.227960959848
S0545,2024-02-10,Hong Kong,KFC,68019.7075514016
S0546,2024-02-10,Hong Kong,KFC,75246.0916577959
S0547,2024-02-10,Hong Kong,KFC,4628.3061656855361
S0548,2024-02-10,Hong Kong,KFC,68087.912281190787
S0549,2024-02-10,Hong Kong,KFC,57305.500650932496
S0550,2024-02-10,Hong Kong,KFC,45094.556383312505
S0551,2024-02-10,Hong Kong,KFC,66834.849854338638
S0552,2024-02-10,Hong Kong,KFC,33964.453273303276
S0553,2024-02-10,Hong Kong,KFC,61850.162626659236
S0554,2024-02-10,Hong Kong,KFC,85152.596959211834
S0555,2024-02-10,Hong Kong,KFC,93614.348118344657
S0556,2024-02-10,Hong Kong,KFC,83321.777849273392
S0557,2024-02-10,Hong Kong,KFC,78118.424237110492
S0558,2024-02-10,Hong Kong,KFC,73013.18805052356
S0559,2024-02-10,Hong Kong,KFC,45403.84702390591
S0560,2024-02-10,Hong Kong,KFC,78728.802567127335
S0562,2024-02-10,Hong Kong,KFC,69736.781912639068
S0563,2024-02-10,Hong Kong,KFC,41260.71678820048
S0564,2024-02-10,Hong Kong,KFC,73577.577298905482
S0565,2024-02-10,Hong Kong,KFC,48904.100679724506
S0566,2024-02-10,Hong Kong,KFC,67123.478742138352
S0567,2024-02-10,Hong Kong,KFC,75705.1248894812
S0568,2024-02-10,Hong Kong,KFC,115570.61489671365
S0569,2024-02-10,Hong Kong,KFC,43729.478928094955
S0570,2024-02-10,Hong Kong,KFC,57328.459165501874
S0571,2024-02-10,Hong Kong,KFC,71776.602855988633
S0572,2024-02-10,Hong Kong,KFC,35699.522586559469
