Store_ID,T_Date,Region,Brand,NetAmount_Local
S0386,2025-03-04,Vietnam,Pizza Hut,6672625.46
S0353,2025-03-04,Vietnam,Pizza Hut,10477107.84
S0405,2025-03-04,Vietnam,Pizza Hut,3498680.38
S0448,2025-03-04,Vietnam,Pizza Hut,5744743.08
S0417,2025-03-04,Vietnam,Pizza Hut,10292008.66
S0439,2025-03-04,Vietnam,Pizza Hut,17035417.28
S0450,2025-03-04,Vietnam,Pizza Hut,12172291.17
S0455,2025-03-04,Vietnam,Pizza Hut,8328704.24
S0462,2025-03-04,Vietnam,Pizza Hut,16742694.87
S0387,2025-03-04,Vietnam,Pizza Hut,8517772.94
S0389,2025-03-04,Vietnam,Pizza Hut,6761377.67
S0408,2025-03-04,Vietnam,Pizza Hut,7581748.42
S0419,2025-03-04,Vietnam,Pizza Hut,9024449.36
S0505,2025-03-04,Vietnam,Pizza Hut,15999164.27
S0421,2025-03-04,Vietnam,Pizza Hut,8086572.79
S0412,2025-03-04,Vietnam,Pizza Hut,9552271.4
S0364,2025-03-04,Vietnam,Pizza Hut,13403412.1
S0355,2025-03-04,Vietnam,Pizza Hut,7308739.81
S0345,2025-03-04,Vietnam,Pizza Hut,3851469.28
S0395,2024-02-29,Vietnam,Pizza Hut,7920344.55
S0383,2024-02-29,Vietnam,Pizza Hut,11887891.63
S0389,2024-02-29,Vietnam,Pizza Hut,12431418.86
S0432,2024-02-29,Vietnam,Pizza Hut,19681791.02
S0450,2024-02-29,Vietnam,Pizza Hut,15106639.31
S0359,2024-02-29,Vietnam,Pizza Hut,7594333.92
S0440,2024-02-29,Vietnam,Pizza Hut,14341582.91
S0455,2024-02-29,Vietnam,Pizza Hut,4711513.32
S0461,2024-02-29,Vietnam,Pizza Hut,9667587.32
S0363,2024-02-29,Vietnam,Pizza Hut,7199746.06
S0480,2024-02-29,Vietnam,Pizza Hut,34268680.19
S0468,2024-02-29,Vietnam,Pizza Hut,5702420.71
S0371,2024-02-29,Vietnam,Pizza Hut,6426573.68
S0384,2025-03-17,Vietnam,Pizza Hut,11893322.51
S0441,2025-03-17,Vietnam,Pizza Hut,9854887.61
S0353,2025-03-17,Vietnam,Pizza Hut,16525318.38
S0415,2025-03-17,Vietnam,Pizza Hut,8298887.87
S0432,2025-03-17,Vietnam,Pizza Hut,10389627.45
S0452,2025-03-17,Vietnam,Pizza Hut,5958673.4
S0410,2025-03-17,Vietnam,Pizza Hut,7025861.14
S0436,2025-03-17,Vietnam,Pizza Hut,12644548.48
S0454,2025-03-17,Vietnam,Pizza Hut,5734541.91
S0425,2025-03-17,Vietnam,Pizza Hut,4453885.63
S0446,2025-03-17,Vietnam,Pizza Hut,8388956.57
S0374,2025-03-17,Vietnam,Pizza Hut,6528716.28
